Date,committed_ret,committed_equity,invested_ret
2005-01-03,0.0,1.0,0.0
2005-01-04,-0.0001,0.9999,-0.001
2005-01-05,-0.00011879320561474227,0.9997812186737058,-0.0011879320561474227
2005-01-06,-0.0003812270267412654,0.9994000750523191,-0.003812270267412654
2005-01-07,-0.0001456470854379887,0.9992545153442013,-0.0009709805695865915
2005-01-10,0.0005437914409127942,0.9997979013969389,0.002718957204563971
2005-01-11,-0.00014828057416208518,0.9996496507900737,-0.0007414028708104259
2005-01-12,0.0021298196352823482,1.0017787242447296,0.010649098176411742
2005-01-13,-0.0010716361489647053,1.0007051819505652,-0.004286544595858821
2005-01-14,-0.0011206899128036573,0.9995837017474629,-0.004482759651214629
2005-01-18,0.00031144194600996603,0.999895014040735,0.0010381398200332201
2005-01-19,-0.001774656576266903,0.9981205437784911,-0.005915521920889677
2005-01-20,5.376076759322501e-07,0.998121080375757,1.7920255864408337e-06
2005-01-21,-9.971485053539842e-05,0.998021552881411,-0.0003323828351179947
2005-01-24,-0.0014854919012384725,0.9965389999473443,-0.004951639670794909
2005-01-25,0.00021986408859796524,0.9967581030863201,0.0007328802953265509
2005-01-26,-0.0021115719373249074,0.9946533766475418,-0.0070385731244163585
2005-01-27,-0.003002825688800981,0.991666605936692,-0.010009418962669936
2005-01-28,-0.00029556953213672463,0.9913734995019396,-0.0007389238303418116
2005-01-31,-0.0008150086925194644,0.9905655214823121,-0.002037521731298661
2005-02-01,-0.0022019405018705086,0.9883843551408038,-0.005504851254676271
2005-02-02,0.00031791623382467773,0.9886985785725614,0.0007947905845616943
2005-02-03,-0.0006742189788176312,0.9880319792265578,-0.0016855474470440779
2005-02-04,-0.0009077481839069757,0.987135094991773,-0.002269370459767439
2005-02-07,0.0007869096294336464,0.987911881103574,0.001967274073584116
2005-02-08,7.761466041528164e-06,0.9879195487480911,1.940366510382041e-05
2005-02-09,-0.00214146181952396,0.9858039567536857,-0.0047588040433865775
2005-02-10,-0.0005597086001605245,0.9852521938010184,-0.00124379688924561
2005-02-11,0.002748426607480714,0.9879600871455397,0.006107614683290475
2005-02-14,-7.821557034912163e-05,0.9878828132838414,-0.00017381237855360363
2005-02-15,0.0019010888861625997,0.9897608663210063,0.004224641969250221
2005-02-16,-0.0012570432892390737,0.9885166940660461,-0.002793429531642386
2005-02-17,-0.0005906447872171316,0.9879328318336189,-0.0013125439715936259
2005-02-18,0.0025731706418043567,0.9904749515925678,0.005718156981787459
2005-02-22,0.0029578882282671583,0.993404665792277,0.006573084951704796
