ticker,ann_date,entry_day,surprise,ear,fwd_1,fwd_5,fwd_20,fwd_60
AAPL,2026-01-29,2026-01-30,6.25,0.016815688129466433,0.035609796846827635,0.07378675270871149,0.029227094968346856,0.012947805793980027
AAPL,2025-10-30,2025-10-31,4.52,0.010238034145176989,-0.006758764914462478,0.009232349890177516,0.05072321645784872,-0.06436155929767029
AAPL,2025-07-31,2025-08-01,9.48,-0.011826230506141733,-0.01040670334943905,0.1083976766436292,0.1108270177306716,0.2245273911606238
AAPL,2025-05-01,2025-05-02,1.69,-0.05568340696347662,-0.025724131726789334,-0.028941882670051156,-0.06227332455490997,-0.10340736955412622
AAPL,2025-01-30,2025-01-31,2.26,-0.014054207574726973,-0.027126396365386607,-0.03372123314103548,0.03970310212641792,-0.027901868023636145
AAPL,2024-10-31,2024-11-01,2.48,-0.015782165419507943,-0.0018835341690189855,-0.028255795417208684,0.01893979997672468,0.002439304387270136
AAPL,2024-08-01,2024-08-02,4.36,0.02251926824782846,-0.019043255372942824,-0.016633794304424798,-0.014981964265917025,-0.030471712912879312
AAPL,2024-05-02,2024-05-03,1.46,0.061301269547172854,-0.019433671664755403,-0.019123997718239916,0.02722031716109341,0.1319097725983962
AAPL,2024-02-01,2024-02-02,3.66,-0.0158900817905423,0.013487675304658664,0.0035821173607704093,-0.09295026213129653,-0.10092814155778829
AAPL,2023-11-02,2023-11-03,4.82,-0.01305795024459755,0.01230470049376664,0.042965237681107604,0.023148507741033608,-0.07077088104360585
AAPL,2023-08-03,2023-08-04,5.66,-0.047614629686308474,-0.025981946487099283,-0.019162533038337926,0.032649439287804505,0.0035667207927027045
AAPL,2023-05-04,2023-05-05,6.28,0.025249948433458735,-0.0006698257078154857,-0.001865806163060424,0.0009888819759180656,0.016125414086861856
AAPL,2023-02-02,2023-02-03,-3.78,0.058593820045382605,-0.011817720081158112,-0.010644279419126823,0.016293657375034076,0.09239874167788287
AAPL,2022-10-27,2022-10-28,1.44,0.024461827569712602,-0.008187244775679337,-0.07742482943615814,-0.09014478837701334,-0.1193183595249554
AAPL,2022-07-28,2022-07-29,3.93,0.0091774001979541,-0.0031921621151996815,0.01529716023535621,0.02444319254902083,-0.0024738773949775084
AAPL,2022-04-28,2022-04-29,6.48,0.01952724012159035,-0.004052950399431987,0.0007213314161076401,-0.05732622155463207,0.01840373176864285
AAPL,2022-01-27,2022-01-28,11.2,0.046854456059053584,0.008114648581410089,-0.0018897311401802064,-0.01731529623465944,-0.02269534169945786
AAPL,2021-10-28,2021-10-29,0.17,-0.00531587416003787,-0.007327178470351914,-0.00885274468963626,0.059604821246815876,0.12059319443880201
AAPL,2021-07-27,2021-07-28,28.18,-0.02194899161646713,0.00040490722469654905,0.013246121094404373,0.0018765060905971964,-0.004362801477493017
AAPL,2021-04-28,2021-04-29,42.16,-0.012854763449288265,-0.008562870700206227,-0.02566221583470729,-0.05800478439589729,0.06476107038916368
AAPL,2021-01-27,2021-01-28,18.67,-0.02634964953845831,-0.017401036736837572,-0.020479054253924156,-0.1213787875018878,-0.12531195065942835
AAPL,2020-10-29,2020-10-30,4.48,-0.020675634167212298,-0.012035562913414899,0.019846307694502796,-0.013283845631888669,0.10010765160890034
AAPL,2020-07-30,2020-07-31,24.47,0.11374937258429019,0.01824549295079758,0.02289770954375081,0.10297993428843877,0.0410972728845751
AAPL,2020-04-30,2020-05-01,12.93,0.04019459515662005,0.011391163441873742,0.04163412467951799,0.03592816870562121,0.1531553179907268
AAPL,2020-01-28,2020-01-29,9.97,0.04016984808825863,-0.004694663661576781,-0.02801506366291462,-0.06556114382583433,0.0030660941330235003
AAPL,2019-10-30,2019-10-31,6.54,0.022087799358839977,0.019116835761418205,0.030034802196458044,0.04135580190025023,0.22566654535604225
AAPL,2019-07-30,2019-07-31,3.71,0.029393104534552572,-0.01293139830432033,-0.0339101474482022,-0.0028738451651729724,0.13314904572725395
AAPL,2019-04-30,2019-05-01,4.05,0.03589385945706025,-0.004348602229700349,-0.021529072769798874,-0.10599233542747877,-0.04939340181205043
AAPL,2019-01-29,2019-01-30,0.27,0.04277882114082687,-0.001581455322750669,0.03511846399085283,0.010816704681073874,0.1402486334526698
AAPL,2018-11-01,2018-11-02,4.55,-0.056652455055713036,-0.033905348769687094,-0.032658717444219,-0.13336064652771462,-0.1936854655122361
AAPL,2018-07-31,2018-08-01,7.38,0.05777857031846034,0.023782821955635303,0.01215744276052888,0.07266898723130111,0.1286732440411671
AAPL,2018-05-01,2018-05-02,2.19,0.07339008672875202,0.004016019271387838,0.03717259734583478,0.03300736224674328,0.011755282305083048
