ticker,ann_date,entry_day,surprise,ear,fwd_1,fwd_5,fwd_20,fwd_60
AAPL,2026-01-29,2026-01-30,6.25,0.016815776363221624,0.03560961905867499,0.07378666420804558,0.029226918337355356,0.012947714344194505
AAPL,2025-10-30,2025-10-31,4.52,0.010238123673432908,-0.006758855311667089,0.009232261129376584,0.05072312646676935,-0.0643616513816394
AAPL,2025-07-31,2025-08-01,9.48,-0.011825891365752517,-0.010406956234687792,0.10839747904523822,0.11082674089581968,0.2245270801436774
AAPL,2025-05-01,2025-05-02,1.69,-0.055683560432880475,-0.02572402377275107,-0.02894159049077627,-0.062273130649147634,-0.10340723353518277
AAPL,2025-01-30,2025-01-31,2.26,-0.014054040261836986,-0.02712631799261689,-0.03372136097125267,0.03970303642557671,-0.027901823167765905
AAPL,2024-10-31,2024-11-01,2.48,-0.015781913373109746,-0.001883425132567118,-0.02825594846716495,0.018939689913619384,0.0024393311027217646
AAPL,2024-08-01,2024-08-02,4.36,0.022519267555038414,-0.01904324736399743,-0.016633982705914763,-0.014981821264355322,-0.03047156850873889
AAPL,2024-05-02,2024-05-03,1.46,0.06130152700641256,-0.01943367153240949,-0.01912425095532211,0.027220287434564394,0.1319095203891676
AAPL,2024-02-01,2024-02-02,3.66,-0.01588978266288832,0.013487488399904879,0.0035819033615509532,-0.0929506507578004,-0.10092840288356664
AAPL,2023-11-02,2023-11-03,4.82,-0.013057621871702896,0.012304553649171046,0.04296499804923681,0.023148523648895747,-0.07077106518400988
AAPL,2023-08-03,2023-08-04,5.66,-0.04761478709171363,-0.025982018001813656,-0.019162674646077682,0.03264928267737521,0.0035667255138245313
AAPL,2023-05-04,2023-05-05,6.28,0.02524994593206742,-0.000669939345438908,-0.0018656518583323178,0.0009889585130375966,0.01612566707599372
AAPL,2023-02-02,2023-02-03,-3.78,0.058593713049595486,-0.011817675332305266,-0.010644412491334743,0.016293658571283065,0.09239895183873248
AAPL,2022-10-27,2022-10-28,1.44,0.024461786846283973,-0.008187031942559764,-0.07742487598299241,-0.09014471319489537,-0.11931808003431643
AAPL,2022-07-28,2022-07-29,3.93,0.009178169450024365,-0.0031922735310219164,0.015296789045713632,0.024442687319490952,-0.0024742141648995686
AAPL,2022-04-28,2022-04-29,6.48,0.019527516727593897,-0.004053128616751778,0.0007206222918690885,-0.05732678526802604,0.01840308297287785
AAPL,2022-01-27,2022-01-28,11.2,0.04685371776422165,0.00811468944487359,-0.00188959924662635,-0.01731487721045144,-0.02269522540214053
AAPL,2021-10-28,2021-10-29,0.17,-0.005315376332393207,-0.007327560859990867,-0.008853556309762034,0.059604200775413174,0.12059321819953339
AAPL,2021-07-27,2021-07-28,28.18,-0.021949008576694684,0.0004050899712506606,0.01324633265162034,0.0018766831449905652,-0.004362732805889946
AAPL,2021-04-28,2021-04-29,42.16,-0.012854376622063346,-0.008563214990181645,-0.025662788685149818,-0.058005596575316565,0.06476034220832894
AAPL,2021-01-27,2021-01-28,18.67,-0.026349806009622112,-0.017401482890042952,-0.020479319798823115,-0.12137925281135598,-0.12531242430525336
AAPL,2020-10-29,2020-10-30,4.48,-0.020675490024850696,-0.012035430744148812,0.019846379966781624,-0.013283274819185342,0.1001083775653977
AAPL,2020-07-30,2020-07-31,24.47,0.11374976171258822,0.018245111047156426,0.022897423878903922,0.102979426117485,0.041096804981122226
AAPL,2020-04-30,2020-05-01,12.93,0.04019470601995656,0.01139118172519149,0.04163435162434115,0.03592898022317459,0.15315580418067598
AAPL,2020-01-28,2020-01-29,9.97,0.04016911424512304,-0.004694263589920533,-0.028014865226124175,-0.06556107636997544,0.0030661672940085483
AAPL,2019-10-30,2019-10-31,6.54,0.02208797507512994,0.019117165915333745,0.03003458968014039,0.04135577919503919,0.22566624287459858
AAPL,2019-07-30,2019-07-31,3.71,0.029392432378348654,-0.01293110201667369,-0.033909824901128705,-0.002873442452744457,0.13314907784130048
AAPL,2019-04-30,2019-05-01,4.05,0.035893740308366784,-0.004348608111374608,-0.021528734793452853,-0.10599217671351546,-0.049392911995139954
AAPL,2019-01-29,2019-01-30,0.27,0.042778702647765066,-0.0015813829158586312,0.03511883478033195,0.01081713687144692,0.1402491700424071
AAPL,2018-11-01,2018-11-02,4.55,-0.05665270450679716,-0.033905233279027946,-0.03265823874562834,-0.13336040659305703,-0.19368571327295303
AAPL,2018-07-31,2018-08-01,7.38,0.057777862282596626,0.02378307004877178,0.01215781341069011,0.07266913218516002,0.1286739140492641
AAPL,2018-05-01,2018-05-02,2.19,0.07338989070953694,0.004016097981279776,0.037172889862282954,0.033007274068004744,0.011754884354469475
AAPL,2018-02-01,2018-02-02,1.1,-0.018510240644130427,0.016838527294030126,0.029135415733622216,0.11800928247610298,0.09203590374109283
AAPL,2017-11-02,2017-11-03,10.53,0.029886196102292928,0.008597664284847983,0.017612919235780122,-0.03412923988601435,-0.11892955501884594
AAPL,2017-08-01,2017-08-02,6.15,0.05383002348159982,-0.008050889399142003,0.025714291976498438,0.049380697185481326,-0.03253300157607808
AAPL,2017-05-02,2017-05-03,3.88,0.0041125086567924685,-0.0047779139566850315,0.036331141031170855,0.025452092172675522,-0.019609874282758843
AAPL,2017-01-31,2017-02-01,4.25,0.05823070706173006,-0.0023676946654994646,0.01843624341460659,0.037191579440048805,0.07006136308756572
AAPL,2016-10-25,2016-10-26,0.81,-0.01215779963050656,-0.006935803524269923,-0.015890690665261942,-0.06534185904787815,-0.027899820028523425
